shell,r_mpc,n_in_shell,fill,alpha,omega_base,omega_eff,trichter_depth,drift_ticks
0,0.0,13,1.0,1.5,1.0,2.5,0.0,0.0
1,500.0,13,1.0,1.5,0.5,1.25,0.0009372070922755715,0.0
2,1000.0,13,1.0,1.5,0.3106420745900706,0.7766051864751765,0.003745316403809873,24963.860061945394
3,1500.0,13,1.0,1.5,0.22038844650494852,0.5509711162623713,0.008413813963378591,15102.800112398341
4,2000.0,13,1.0,1.5,0.1687884029048977,0.42197100726224424,0.01492524937624784,82493.10494242236
5,2500.0,13,1.0,1.5,0.13577270582257864,0.3394317645564466,0.02325534449188732,94842.8023818573
6,3000.0,13,1.0,1.5,0.11299336227041203,0.2824834056760301,0.03337314420999549,116381.92507361993
7,3500.0,13,1.0,1.5,0.09640730953548461,0.24101827383871152,0.04524120811394666,119516.19473964162
8,4000.0,13,1.0,1.5,0.08383408793542055,0.20958521983855138,0.058815841271515235,19469.33892915072
9,4500.0,13,1.0,1.5,0.0740000601301996,0.185000150325499,0.07404736221195235,25922.337862160522
10,5000.0,13,1.0,1.5,0.0661140613371956,0.16528515334298902,0.09088040577978629,108114.70479016518
11,5500.0,13,1.0,1.5,0.05966000949159334,0.14915002372898337,0.10925425828237034,116381.16903314926
12,6000.0,13,1.0,1.5,0.05428760096293829,0.13571900240734572,0.12910322209315772,37101.92543904064
13,6500.0,13,1.0,1.5,0.04975108181223893,0.12437770453059732,0.15035700664851914,119922.06085984944
14,7000.0,13,1.0,1.5,0.0458731815758062,0.1146829539395155,0.17294114258477467,98749.29966734536
15,7500.0,13,1.0,1.5,0.042522953690741695,0.10630738422685423,0.19677741560573525,98092.43949603708
16,8000.0,13,1.0,1.5,0.039601662614779196,0.099004156536948,0.22178431655068298,114112.64246261539
17,8500.0,13,1.0,1.5,0.03703351319450122,0.09258378298625304,0.24787750404919318,14262.993002207484
18,9000.0,13,1.0,1.5,0.03475939450022918,0.08689848625057295,0.27497027610283375,55445.25816891063
19,9500.0,13,1.0,1.5,0.032732556729938196,0.08183139182484549,0.3029740469244528,106241.80565999704
20,10000.0,13,1.0,1.5,0.03091556053506477,0.07728890133766192,0.3317988253928927,35596.99360331823
21,10500.0,13,1.0,1.5,0.02927808356826458,0.07319520892066145,0.36135369154352853,101531.88913412672
22,11000.0,13,1.0,1.5,0.027795316645419815,0.06948829161354954,0.39154726761158365,43881.911173922475
23,11500.0,13,1.0,1.5,0.026446773098617336,0.06611693274654334,0.4222881802738884,121050.53807424207
24,12000.0,13,1.0,1.5,0.025215392617217246,0.06303848154304312,0.45348551089345346,73174.46495740651
25,12500.0,13,1.0,1.5,0.024086858222019517,0.06021714555504879,0.4850492307574066,29297.04767211876
26,13000.0,13,1.0,1.5,0.02304906966945033,0.05762267417362583,0.5168906185097393,118547.82874822873
27,13500.0,13,1.0,1.5,0.02209173315261209,0.05522933288153022,0.5489226572128987,81326.58497355797
28,14000.0,13,1.0,1.5,0.021206038490311153,0.05301509622577788,0.5810604087233758,46890.77650329762
29,14500.0,13,1.0,1.5,0.02038440285361117,0.05096100713402793,0.6132213633327356,14945.582948402385
30,15000.0,13,1.0,1.5,0.01962026561018857,0.049050664025471424,0.6453257629036155,114835.9269241317
31,15500.0,13,1.0,1.5,0.018907922810360116,0.04726980702590029,0.6772968960166312,87140.03886680142
32,16000.0,13,1.0,1.5,0.018242392684801285,0.04560598171200321,0.7090613639354272,61264.22758507391
33,16500.0,13,1.0,1.5,0.017619305601345274,0.04404826400336319,0.7405493164899278,37038.601780304336
34,17000.0,13,1.0,1.5,0.017034813460515726,0.04258703365128931,0.7716946572688808,14313.547344851424
35,17500.0,13,1.0,1.5,0.01648551465079859,0.04121378662699647,0.8024352177989156,122556.8096230491
36,18000.0,13,1.0,1.5,0.015968391542693916,0.03992097885673479,0.8327129006655883,102451.0631799394
37,18500.0,13,1.0,1.5,0.015480758151236892,0.03870189537809223,0.8624737917994968,83491.8769200904
38,19000.0,13,1.0,1.5,0.015020216094095325,0.03755054023523831,0.8916682424050191,65586.00173842616
39,19500.0,13,1.0,1.5,0.014584617355553367,0.03646154338888342,0.9202509212483035,48649.92278391495
40,20000.0,13,1.0,1.5,0.01417203266404993,0.035430081660124825,0.9481808382428365,32608.629978261306
41,20500.0,13,1.0,1.5,0.013780724523272085,0.03445181130818021,0.9754213404735887,17394.56946481869
42,21000.0,13,1.0,1.5,0.013409124119510712,0.03352281029877678,1.001940081983009,2946.745766576496
43,21500.0,13,1.0,1.5,0.013055811472554659,0.03263952868138665,1.0277089688029406,118809.95005292515
44,22000.0,13,1.0,1.5,0.012719498312462468,0.03179874578115617,1.052704080855169,105734.09438854083
45,22500.0,13,1.0,1.5,0.012399013256640423,0.030997533141601058,1.0769055724592769,93273.63541817962
46,23000.0,13,1.0,1.5,0.012093288935750292,0.03023322233937573,1.1002975532797137,81387.07382197137
47,23500.0,13,1.0,1.5,0.011801350776888105,0.02950337694222026,1.1228679516145574,70036.51820540958
48,24000.0,13,1.0,1.5,0.011522307201162993,0.028805768002907482,1.1446083619768173,59187.30398121715
49,24500.0,13,1.0,1.5,0.011255341032550438,0.028138352581376095,1.165513878945947,48807.659345561115
50,25000.0,13,1.0,1.5,0.010999701947482423,0.02749925486870606,1.1855829192733531,38868.41171811655
51,25500.0,13,1.0,1.5,0.010754699821470246,0.026886749553675614,1.2048170342122622,29342.729058763187
52,26000.0,13,1.0,1.5,0.010519698851239523,0.026299247128098807,1.2232207140105162,20205.89133619261
53,26500.0,13,1.0,1.5,0.010294112349268391,0.02573528087317098,1.240801186456207,11435.088139555068
54,27000.0,13,1.0,1.5,0.010077398122957331,0.02519349530739333,1.257568211301991,3009.239020581066
55,27500.0,13,1.0,1.5,0.009869054363481526,0.024672635908703815,1.273533872316128,124508.8336521617
56,28000.0,13,1.0,1.5,0.00966861598013362,0.02417153995033405,1.2887123686184325,116715.78930759511
57,28500.0,13,1.0,1.5,0.00947565132501862,0.023689128312546548,1.3031198068591485,109213.32351672393
58,29000.0,13,1.0,1.5,0.009289759260607594,0.023224398151518985,1.316773995690015,101985.84005242324
59,29500.0,13,1.0,1.5,0.00911056652913189,0.022776416322829725,1.329694243861215,95018.82665264787
60,30000.0,13,1.0,1.5,0.008937725388299924,0.02234431347074981,1.3419011631572035,88298.76309710107
61,30500.0,13,1.0,1.5,0.00877091148250456,0.021927278706261398,1.3534164772602468,81813.03843977727
62,31000.0,13,1.0,1.5,0.008609821922692025,0.021524554806730063,1.364262837504456,75549.87635426596
63,31500.0,13,1.0,1.5,0.008454173551492146,0.021135433878730365,1.374463646356661,69498.26768201462
64,32000.0,13,1.0,1.5,0.008303701373154069,0.02075925343288517,1.3840428893350505,63647.90938823018
65,32500.0,13,1.0,1.5,0.008158157130366647,0.020395392825916618,1.393024975953363,57989.14922865527
66,33000.0,13,1.0,1.5,0.008017308012230145,0.020043270030575364,1.4014345901587457,52512.935515508056
67,33500.0,13,1.0,1.5,0.007880935479538227,0.019702338698845568,1.4092965506162032,47210.77144444629
68,34000.0,13,1.0,1.5,0.00774883419516969,0.019372085487924226,1.4166356810827754,42074.67350819759
69,34500.0,13,1.0,1.5,0.007620811048814703,0.019052027622036758,1.4234766910109595,37097.133577915665
70,35000.0,13,1.0,1.5,0.007496684266501512,0.01874171066625378,1.4298440664240615,32271.084281578776
71,35500.0,13,1.0,1.5,0.007376282596472308,0.01844070649118077,1.4357619710166585,27589.867350843328
72,36000.0,13,1.0,1.5,0.007259444563903731,0.01814861140975933,1.4412541573515194,23047.204644577112
73,36500.0,13,1.0,1.5,0.007146017787796729,0.017865044469491824,1.4463438879504409,18637.171589536825
74,37000.0,13,1.0,1.5,0.0070358583540882525,0.01758964588522063,1.451053866010656,14354.172806951217
75,37500.0,13,1.0,1.5,0.006928830239677184,0.01732207559919296,1.455406175420762,10192.91971864889
76,38000.0,13,1.0,1.5,0.006824804782620485,0.01706201195655121,1.4594222297004744,6148.409948284447
